{'recall': 0.7726826875919568, 'precision': 0.75745192307692311, 'f1': 0.76499150279193995}
{'recall': 0.70654849827671096, 'precision': 0.83405986631793083, 'f1': 0.76502732240437155}
{'recall': 0.80235409514467881, 'precision': 0.74583998176430366, 'f1': 0.77306556408741889}
{'recall': 0.81954702117183653, 'precision': 0.7883021548662088, 'f1': 0.80362100181050089}
{'recall': 0.80896110290497292, 'precision': 0.801658941205172, 'f1': 0.80529346893763021}
{'recall': 0.84859675036927618, 'precision': 0.77339017276194755, 'f1': 0.80924991196149787}
{'recall': 0.82339901477832511, 'precision': 0.80129434324065196, 'f1': 0.81219630709426627}
{'recall': 0.80665024630541871, 'precision': 0.81874999999999998, 'f1': 0.81265508684863519}
{'recall': 0.82438423645320202, 'precision': 0.80206086748142824, 'f1': 0.81306935503461686}
{'recall': 0.84490398818316104, 'precision': 0.78661471464588584, 'f1': 0.8147181008902078}
{'recall': 0.84036292300147131, 'precision': 0.79072450392247351, 'f1': 0.814788397527342}
{'recall': 0.85401280157557857, 'precision': 0.77937542125365089, 'f1': 0.8149888405967346}
{'recall': 0.85105859182668631, 'precision': 0.78283514492753625, 'f1': 0.81552252889832511}
{'recall': 0.7815270935960591, 'precision': 0.85341581495427654, 'f1': 0.8158909745435845}
{'recall': 0.81231527093596056, 'precision': 0.81978622918220234, 'f1': 0.81603365087220092}
{'recall': 0.81379310344827582, 'precision': 0.81842952687639337, 'f1': 0.81610473014696805}
{'recall': 0.80640394088669953, 'precision': 0.82614181175876866, 'f1': 0.81615355851925719}
{'recall': 0.81354679802955665, 'precision': 0.82021355848025823, 'f1': 0.81686657598615064}
{'recall': 0.85573609059576561, 'precision': 0.78411910669975182, 'f1': 0.81836374337845785}
{'recall': 0.84810438207779415, 'precision': 0.79068166169382603, 'f1': 0.81838698182682035}
{'recall': 0.81354679802955665, 'precision': 0.82348541510845175, 'f1': 0.81848593730640562}
{'recall': 0.84482758620689657, 'precision': 0.79508576726935554, 'f1': 0.81920229281108181}
{'recall': 0.84613490891186605, 'precision': 0.79468208092485548, 'f1': 0.81960176463574574}
{'recall': 0.85066208925944087, 'precision': 0.79020501138952159, 'f1': 0.81931979215871509}
{'recall': 0.84285714285714286, 'precision': 0.79785497785031478, 'f1': 0.81973889088513596}
{'recall': 0.82832512315270934, 'precision': 0.81349782293178519, 'f1': 0.82084452038076638}
{'recall': 0.84859675036927618, 'precision': 0.79552273251788597, 'f1': 0.82120309708159622}
{'recall': 0.83653372722796648, 'precision': 0.80731765264908528, 'f1': 0.8216660621448435}
{'recall': 0.85598227474150668, 'precision': 0.79040691066151403, 'f1': 0.82188866564235918}
{'recall': 0.82512315270935965, 'precision': 0.81967213114754101, 'f1': 0.82238860930403834}
{'recall': 0.84605911330049266, 'precision': 0.80032618825722279, 'f1': 0.82255747126436785}
{'recall': 0.82003938946331856, 'precision': 0.82552664188351921, 'f1': 0.82277386686427079}
{'recall': 0.84876847290640389, 'precision': 0.79972151311209094, 'f1': 0.82351535428366585}
{'recall': 0.84827586206896555, 'precision': 0.80074401302022791, 'f1': 0.82382490132759245}
{'recall': 0.82955665024630543, 'precision': 0.81866796305298983, 'f1': 0.82407633961340843}
{'recall': 0.84134379597842079, 'precision': 0.80805463966085733, 'f1': 0.82436328688130711}
{'recall': 0.83866995073891626, 'precision': 0.81187410586552222, 'f1': 0.82505451902108073}
{'recall': 0.84441161989167901, 'precision': 0.80781912388130006, 'f1': 0.82571015888300436}
{'recall': 0.8545051698670606, 'precision': 0.80087678818643282, 'f1': 0.82682229633158644}
{'recall': 0.83620689655172409, 'precision': 0.82044465925567911, 'f1': 0.8282507928763112}
{'recall': 0.82151649433776464, 'precision': 0.83634085213032583, 'f1': 0.82886239443616494}
